"date","name","value"
2021-06-01,"VT",327700
2021-06-01,"IN",247500
2021-06-01,"ME",315700
2021-06-01,"MD",386700
2021-06-01,"DC",704000
2021-06-01,"LA",271300
2021-06-01,"SC",306500
2021-06-01,"VA",445200
2021-06-01,"TX",336100
2021-06-01,"CO",535100
2021-06-01,"OR",478500
2021-06-01,"OH",220900
2021-06-01,"AL",254500
2021-06-01,"MO",237400
2021-06-01,"ID",460700
2021-06-01,"KY",242100
2021-06-01,"GA",327100
2021-06-01,"HI",669600
2021-06-01,"NH",373500
2021-06-01,"OK",219200
2021-06-01,"NV",386500
2021-06-01,"CA",786500
2021-06-01,"KS",327300
2021-06-01,"RI",395500
2021-06-01,"DE",300200
2021-06-01,"FL",341600
2021-06-01,"NE",256800
2021-06-01,"NJ",429500
2021-06-01,"MS",228800
2021-06-01,"MI",236000
2021-06-01,"AK",353100
2021-06-01,"NY",527700
2021-06-01,"CT",377200
2021-06-01,"NM",462300
2021-06-01,"AZ",397600
2021-06-01,"PA",283400
2021-06-01,"IL",298300
2021-05-01,"OR",469700
2021-05-01,"MI",227900
2021-05-01,"RI",374500
2021-05-01,"FL",332400
2021-05-01,"KS",325300
2021-05-01,"KY",229600
2021-05-01,"NJ",409300
2021-05-01,"GA",317200
2021-05-01,"TN",320900
2021-05-01,"DC",689000
2021-05-01,"NY",515700
2021-05-01,"UT",458700
2021-05-01,"PA",263300
2021-05-01,"VA",440300
2021-05-01,"IN",242900
2021-05-01,"MD",379800
2021-05-01,"NC",316600
2021-05-01,"OK",212600
2021-05-01,"IL",291000
2021-05-01,"AL",249200
2021-05-01,"NE",251800
2021-05-01,"VT",315600
2021-05-01,"AK",336900
2021-05-01,"IA",235400
2021-05-01,"SC",297400
2021-05-01,"CA",778300
2021-05-01,"WV",262400
2021-05-01,"OH",211400
2021-05-01,"WI",250600
2021-05-01,"MO",234400
2021-05-01,"LA",252100
2021-05-01,"AZ",388800
2021-05-01,"MA",553900
2021-05-01,"CO",532300
2021-05-01,"HI",660000
2021-05-01,"NM",473200
2021-05-01,"MS",221900
2021-05-01,"TX",328900
2021-05-01,"AR",216100
2021-05-01,"ID",452400
2021-05-01,"DE",275000
2021-05-01,"WA",586600
2021-05-01,"MN",317300
2021-05-01,"ME",308600
2021-05-01,"NV",373400
2021-05-01,"CT",343900
2021-05-01,"NH",376900
2021-04-01,"WV",242700
2021-04-01,"RI",363300
2021-04-01,"IA",234400
2021-04-01,"VT",299000
2021-04-01,"MA",540600
2021-04-01,"SC",290600
2021-04-01,"WA",567000
2021-04-01,"MI",224400
2021-04-01,"NY",504600
2021-04-01,"LA",258600
2021-04-01,"MS",217200
2021-04-01,"DE",267100
2021-04-01,"NC",305500
2021-04-01,"NE",245500
2021-04-01,"GA",307100
2021-04-01,"PA",256100
2021-04-01,"VA",429500
2021-04-01,"AZ",374800
2021-04-01,"OK",208700
2021-04-01,"MO",220100
2021-04-01,"CT",329700
2021-04-01,"WI",242000
2021-04-01,"AL",241900
2021-04-01,"KS",321600
2021-04-01,"NJ",396800
2021-04-01,"MN",309400
2021-04-01,"NM",453000
2021-04-01,"OH",202800
2021-04-01,"IL",291100
2021-04-01,"TX",317000
2021-04-01,"CA",762300
2021-04-01,"UT",488200
2021-04-01,"KY",220800
2021-04-01,"NH",358600
2021-04-01,"AR",210300
2021-04-01,"IN",231500
2021-04-01,"CO",525800
2021-04-01,"ID",428000
2021-04-01,"DC",652800
2021-04-01,"OR",453500
2021-04-01,"TN",312300
2021-04-01,"MD",368100
